gene_id,cluster
Ap11.1188,1
Ap11.1184,1
Ap11.1729,1
Ap11.1728,1
Ap11.716,1
Ap11.1627,2
Ap11.1162,1
Ap11.1579,1
Ap11.776,1
Ap11.777,1
Ap11.805,1
Ap10.1948,1
Ap10.1942,1
Ap10.1941,1
Ap10.1946,1
Ap10.458,1
Ap10.1945,1
Ap10.753,1
Ap10.755,1
Ap10.1777,1
Ap10.1776,1
Ap10.54,1
Ap10.53,1
Ap10.1012,1
Ap10.109,1
Ap10.1206,1
Ap10.1784,1
Ap10.243,1
Ap10.1530,1
Ap10.1851,1
Ap10.613,1
Ap10.614,1
Ap10.1911,2
Ap10.1913,1
Ap10.1912,2
Ap10.344,1
Ap10.793,1
Ap10.792,1
Ap10.790,1
Ap10.799,1
Ap10.423,1
Ap10.426,1
Ap10.1376,1
Ap10.322,1
Ap10.321,1
Ap10.328,2
Ap10.1191,1
Ap10.121,1
Ap10.122,1
Ap10.1728,1
Ap10.66,2
Ap10.1991,1
Ap10.1992,1
Ap10.740,1
Ap10.838,1
Ap10.839,1
Ap10.1045,1
Ap10.502,1
Ap10.503,1
Ap10.979,1
Ap10.20,1
Ap10.2006,1
Ap10.218,1
Ap10.214,1
Ap10.212,1
Ap10.1895,1
Ap10.582,1
Ap10.580,1
Ap10.2073,1
Ap10.621,1
Ap10.2086,1
Ap10.2084,1
Ap10.1469,1
Ap10.1469.1.5f1689af,1
Ap10.1468,1
Ap10.1466,1
Ap10.1460,1
Ap10.1462,1
Ap10.1926,1
Ap10.1927,2
Ap10.294,1
Ap10.1342,1
Ap10.1343,1
Ap10.1346,1
Ap10.904,1
Ap10.319,1
Ap10.318,1
Ap10.315,1
Ap10.1759,1
Ap10.1752.1.5f15de8a,1
Ap10.1751,1
Ap10.152,1
Ap10.1176,1
Ap10.1240,1
Ap10.809,1
Ap10.803,1
Ap10.801,1
Ap10.1849,1
Ap10.1846,1
Ap10.855,1
Ap10.533,1
Ap10.538,1
Ap10.73,1
Ap10.1652,1
Ap10.1653,1
Ap10.1036,1
Ap10.670,2
Ap10.678,1
Ap10.1458,1
Ap10.1,1
Ap10.5,1
Ap10.1103,1
Ap10.1100,1
Ap10.1101,1
Ap10.1684,1
Ap10.1978,1
Ap10.851,1
Ap10.756,1
Ap10.106,1
Ap10.107,1
Ap10.738,1
Ap10.736,1
Ap10.1065,1
Ap10.562,1
Ap10.2061,1
Ap10.2063,1
Ap10.2067,1
Ap10.278,1
Ap10.270,1
Ap10.275,1
Ap10.902,1
Ap10.903,1
Ap10.907,1
Ap10.905,1
Ap10.601,1
Ap10.602,1
Ap10.609,1
Ap10.1484,2
Ap10.415,1
Ap10.410,1
Ap10.411,2
Ap10.412,1
Ap10.331,1
Ap10.1772,1
Ap10.2017,1
Ap10.1638,1
Ap10.1639,1
Ap10.494,1
Ap10.490,2
Ap10.491,1
Ap10.1052,1
Ap10.1862,1
Ap10.1869,1
Ap10.510,1
Ap10.515,1
Ap10.514,1
Ap10.516,1
Ap10.19,1
Ap10.18,1
Ap10.15,1
Ap10.16,1
Ap10.768,1
Ap10.769,1
Ap10.760,1
Ap10.761,1
Ap10.766,2
Ap10.201,1
Ap10.203,1
Ap10.205,1
Ap10.1571,1
Ap10.591,1
Ap10.592,1
Ap10.596,1
Ap10.657,1
Ap10.650,1
Ap10.890,1
Ap10.891,1
Ap10.1470,1
Ap10.285,1
Ap10.286,1
Ap10.361,1
Ap10.1742,1
Ap10.167,1
Ap10.160,1
Ap10.163,1
Ap10.1959,1
Ap10.1955,1
Ap10.1954,1
Ap10.1956,1
Ap10.1952,1
Ap10.469,1
Ap10.877,1
Ap10.1337,1
Ap10.64,1
Ap10.1273,1
Ap10.1275,1
Ap10.981,1
Ap10.984,1
Ap10.2047,1
Ap10.911,1
Ap10.910,1
Ap10.912,1
Ap10.1005,1
Ap10.669,1
Ap10.668,1
Ap10.79,1
Ap10.78,1
Ap10.254,1
Ap10.357,1
Ap10.353,1
Ap10.358,1
Ap10.197,1
Ap10.1697,1
Ap10.1961,1
Ap10.1962,1
Ap10.786,1
Ap10.781,1
Ap10.849,1
Ap10.119,1
Ap10.118,1
Ap10.115,1
Ap10.114,1
Ap10.1610,1
Ap10.1611,1
Ap10.1198,1
Ap10.1076,1
Ap10.1385,1
Ap10.1805,1
Ap10.1802,1
Ap10.742,1
Ap10.745,1
Ap10.579,1
Ap10.1227,1
Ap10.1226,1
Ap10.2011,1
Ap10.269,1
Ap10.267,1
Ap10.266,1
Ap10.265,1
Ap10.264,1
Ap10.1881,1
Ap10.1880,1
Ap10.638,1
Ap10.2094,1
Ap10.1490,1
Ap10.1933,1
Ap10.1936,1
Ap10.401,1
Ap10.305,1
Ap10.489,1
Ap10.487,1
Ap10.486,2
Ap10.812,1
Ap10.1907,1
Ap10.1874,1
Ap10.1875,1
Ap10.1870,1
Ap10.381,1
Ap10.383,1
Ap10.385,1
Ap10.528,1
Ap10.529,1
Ap10.49,1
Ap10.2024,1
Ap10.2026,1
Ap10.1640,1
Ap10.1643,1
Ap10.1649,1
Ap10.68,1
Ap10.774,1
Ap10.776,1
Ap10.773,1
Ap10.772,1
Ap10.899,1
Ap10.236,1
Ap10.231,1
Ap10.238,1
Ap10.837,1
Ap10.752,1
Ap10.80,1
Ap10.81,1
Ap10.86,1
Ap10.87,1
Ap10.84,1
Ap10.85,1
Ap10.88,1
Ap10.1551,1
Ap10.886,1
Ap10.885,1
Ap10.640,1
Ap10.649,1
Ap10.648,1
Ap10.1192,1
Ap10.1194,1
Ap10.1443,1
Ap10.1442,1
Ap10.853,1
Ap10.998,1
Ap10.993,1
Ap10.373,1
Ap10.377,1
Ap10.376,1
Ap10.1735,1
Ap10.1737,1
Ap10.1736,1
Ap10.171,1
Ap14.1859,1
Ap14.1279,1
Ap14.1276,1
Ap14.1503,1
Ap14.859,1
Ap14.951,1
Ap14.1274,1
Ap14.795,1
Ap14.1740,1
Ap14.1020,1
Ap14.1583,1
Ap14.268,1
Ap14.261,1
Ap14.190,1
Ap14.700,1
Ap14.703,2
Ap14.707,1
Ap14.706,1
Ap14.709,1
Ap14.1462,1
Ap14.103,1
